Year,Month,CRUDE OIL,LPG,MS,Naphtha,HSD,LOBS/ Lube oil,Fuel Oil,Bitumen,Petcoke,Others&
2022,January,11351,1070,0,23,6,144,338,112,166,144
2022,February,10421,1320,,83,5,183,229,119,164,71
2022,March,10895,1061,,54,4,170,252,144,265,239
2022,April,16815,1536,,32,3,209,659,138,224,144
2022,May,15469,1198,40,34,13,217,326,132,217,171
2022,June,15597,971,208,2,196,202,396,103,187,98
2022,July,16265,1056,78,117,181,262,452,57,225,78
2022,August,13107,1075,0,60,11,203,370,30,170,141
2022,September,11827,939,173,44,2,160,272,49,127,81
2022,October,12087,836,296,77,11,229,301,94,193,73
2022,November,12253,1122,197,21,8,174,249,135,209,82
2022,December,11445,1159,103,47,14,146,359,124,118,104
2023,January,12194,1006,,38,2,179,325,91,104,112
2023,February,10159,1103,0,1,11,190,377,93,193,90
2023,March,12067,993,0,1,4,149,318,125,186,86
2023,April,10852,590,0,38,2,164,275,153,137,141
2023,May,10628,823,0,40,2,213,283,154,202,221
2023,June,10044,616,119,106,1,172,284,99,118,156
2023,July,10362,567,,38,1,259,291,92,137,195
2023,August,10936,735,147,71,4,144,362,113,167,203
2023,September,10894,896,151,108,5,181,422,89,114,85
2023,October,11864,1160,182,171,4,180,387,114,127,94
2023,November,11455,1061,63,76,1,225,420,94,94,110
2023,December,11383,967,,134,3,244,317,94,150,115
